author,PC1,PC2
random,-2.0779999037937453,0.22373562958135784
turgenev,-1.5335013882277102,1.1169913995802028
hemingway,1.6941758473255675,1.4238137334750731
butler,0.48079419984007554,1.4554152630714372
random,-2.365300661509212,-1.9275299704807671
turgenev,-1.5743257064850542,0.9895699113209705
hemingway,0.5688248569182804,1.2706544711488983
butler,-0.5584163645048296,1.5004272955862352
random,-2.4328055289845913,-0.9559501108029133
turgenev,-1.1612344521451494,0.6430179289082933
hemingway,1.2661395940151576,1.4591962896036246
butler,-0.835381533976828,2.008975998107527
random,-2.401987600642443,-0.1267971152518565
turgenev,-1.74492158057562,1.0773698335548283
hemingway,0.40204073308212973,2.144250486938176
butler,-1.0633962037346587,2.2443218064161274
random,-2.668883190537659,0.7339853138491066
turgenev,-1.1512516376567232,0.9946466609296674
hemingway,1.9966062136923748,1.5714486943981487
butler,-1.5241266941712392,3.706122185363613
random,-2.1774089199813718,-2.117093786446814
turgenev,-1.5706694486249764,1.9462849658243977
hemingway,1.6115042684262662,1.1778778221161963
butler,-0.06357403052752753,2.9866145235821087
random,-1.8600538466362986,-0.0755268418610896
turgenev,-0.19834866847888266,1.6537658976116596
hemingway,0.9367839121038397,0.9070525912023755
butler,-2.144299516212827,1.1241619500591593
random,-2.451578019189505,-2.399774323829482
turgenev,-2.2321105472321987,1.7215081856849213
hemingway,1.4401854593624397,1.8704127890515145
butler,0.5763166030517959,2.0895723734737484
random,-2.5542355952631657,-0.6289067230166521
turgenev,0.7039999735486688,0.2556494426712843
hemingway,0.4469414298464097,1.0594247970039663
butler,-0.35844256998851814,1.2009596818703134
random,-2.3158459822798556,0.44317571119438826
turgenev,0.3603669975059174,-0.18577272753895313
hemingway,1.7791129865739865,1.8675517002153728
butler,-0.8970039107904141,2.863365466881466
random,-1.540045712009991,0.8565886445807016
turgenev,-1.736985430979645,2.897847250549556
hemingway,0.7534016737193842,1.2369296568818744
butler,-0.3080123578571594,2.2384905883723056
random,-3.036928823479886,0.9901602017652356
turgenev,-2.030989658114861,2.2654859497912403
hemingway,0.5029000478807376,1.2637422533419134
butler,0.0003959341874675282,1.454498942868941
random,-3.1933092708047885,-1.1089400179007778
turgenev,-3.4660183101409303,1.6152238559354042
hemingway,1.7773528963485377,1.4927545738044616
butler,-3.3769243158677122,3.022008022889498
random,-1.8557924074264034,-1.233497824956463
turgenev,-1.9778732421169238,2.248057842891675
hemingway,0.966373179632907,1.4816520684461718
butler,-0.3108928972166455,3.1913916462965632
random,-2.3103747583579026,-1.4710775111879821
turgenev,-0.7583774270994573,0.4608563117754386
hemingway,1.1766442103772623,1.6554645948750424
butler,-0.7384566161966842,2.6378360905633267
random,-4.073547306153329,-1.7662419566594205
turgenev,-2.7202166507938053,1.4916837898926691
hemingway,0.6839135174210242,0.8592927509074656
butler,0.7051645947927108,1.8867146073414243
random,-4.356526660281106,0.044408602782721185
turgenev,-1.529874415834532,0.8330297001095217
hemingway,1.640141210960852,0.4421135071912914
butler,-1.1252357366577144,2.1103729414845858
random,-2.316747615214329,0.10932108111782568
turgenev,-2.1086022020094006,0.21077981317180383
hemingway,0.7143075223338312,1.201427324088538
butler,-1.733108679349019,3.5883187838956747
random,-2.6228809542276927,-0.40308469561731103
turgenev,-0.9143516452788997,-0.6370909295146641
hemingway,,
butler,-1.507876935198877,2.2654051732925757
random,-3.676198884625746,-2.349895566653615
turgenev,-0.6077056145417803,-0.1288063006179001
hemingway,,
butler,1.7075839637656185,1.7401326355237532
random,,
turgenev,-1.1355380709135874,1.7639814584956797
hemingway,,
butler,,
